indicator,alert_percentile,alarm_percentile,alert_tukey,alarm_tukey,retention_filter,season_scope,baseline_method,country,q1_median,q3_median,median_iqr,alert_zscore,alarm_zscore
Pulses,103.0,120.72999999999999,126.74000000000001,134.28500000000003,none,All Months,Nominal,Afghanistan,97.28,111.65,15.090000000000003,119.94485482278085,135.9036106272092
Pulses,103.0,120.72999999999999,126.74000000000001,134.28500000000003,>=40%,All Months,Nominal,Afghanistan,97.28,111.65,15.090000000000003,119.94485482278085,135.9036106272092
Rice (high quality),14.44532478486224,25.3939106162487,28.39595670262707,33.1457018196376,none,All Months,YOY,Afghanistan,8.635509191983562,18.896466468606015,9.499490234021057,27.480602755642163,47.937589540364186
Rice (high quality),19.7188498402556,27.285810227381734,34.5949658715439,39.827601078330744,>=40%,All Months,YOY,Afghanistan,13.468968822900292,24.1296954579702,10.465270413573698,27.480602755642163,47.937589540364186
Rice (high quality),10.19850753548261,19.581280788177338,24.60847096786146,28.477894928401753,none,All Months,LTM,Afghanistan,5.268354797267532,16.869623046780877,7.738847921080584,17.964281296216434,33.26399937016221
Rice (high quality),17.6488248716486,26.96629680009191,32.09519319458218,36.5217473699953,>=40%,All Months,LTM,Afghanistan,13.442607929424039,23.242084843755926,8.85310835082625,17.964281296216434,33.26399937016221
Rice (high quality),6.459856697169073,16.382878286378094,18.765226810103243,22.523143867179645,none,All Months,FIVE_YEAR,Afghanistan,3.506203944597479,11.249392695950448,7.515834114152797,28.720459755995183,45.424114481826194
Rice (high quality),12.542058243415713,19.4718161864288,24.0759782660545,27.8338953231309,>=40%,All Months,FIVE_YEAR,Afghanistan,9.044310037748906,16.560144151901703,7.515834114152797,28.720459755995183,45.424114481826194
Rice (high quality),98.97,114.96,116.0,121.63,none,All Months,Nominal,Afghanistan,91.32,104.74,11.260000000000005,120.49772450024561,137.66828297402944
Rice (high quality),98.97,114.96,116.0,121.63,>=40%,All Months,Nominal,Afghanistan,91.32,104.74,11.260000000000005,120.49772450024561,137.66828297402944
Rice (low quality),15.191016016016018,38.12980850199258,44.93612376860695,54.19105478859122,none,All Months,YOY,Afghanistan,8.040621969409031,26.4262617286384,18.509862039968546,33.871329368891054,60.94601317297002
Rice (low quality),18.497928436911494,50.45536959553695,60.263550709929106,73.17435372073211,>=40%,All Months,YOY,Afghanistan,9.00206378986867,34.44194468832309,25.821606021606016,33.871329368891054,60.94601317297002
Rice (low quality),9.514037185966476,27.153630581871685,33.2177610043082,40.133825455892904,none,All Months,LTM,Afghanistan,4.06333013963952,19.38563210113879,13.832128903169409,24.2584804561568,46.06529176973905
Rice (low quality),10.410610507869066,37.87331193763424,37.86214878074067,46.23813843996271,>=40%,All Months,LTM,Afghanistan,4.569957166392025,21.110169462296575,16.75197931844409,24.2584804561568,46.06529176973905
Rice (low quality),12.654119205273481,34.206888904855205,44.88315893943398,54.984382229689096,none,All Months,FIVE_YEAR,Afghanistan,5.0614545259228345,24.68071235892377,20.202446580510216,23.281423967429767,43.494042610954786
Rice (low quality),16.927248635646848,50.77953470863811,65.71183327138385,80.19001919164349,>=40%,All Months,FIVE_YEAR,Afghanistan,8.052176522002888,36.755461430864585,28.956371840519267,23.281423967429767,43.494042610954786
