country,adm1_name,date,indicator,value,group,year,month,month_name,year_month,year_month_str
Afghanistan,Nangarhar,2025-01-02,percent_area_flooded,0.288586384,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Baghlan,2025-01-02,percent_area_flooded,1.162582706,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kabul,2025-01-02,percent_area_flooded,0.840054948,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nimroz,2025-01-02,percent_area_flooded,0.110298116,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.376983646,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.30036921,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.320382153,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.124885497,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.124885497,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.320382153,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.290538299,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.30036921,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.290538299,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Faryab,2025-01-02,percent_area_flooded,0.779612618,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.006730555,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.037953282,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Hilmand,2025-01-02,percent_area_flooded,0.005432019,Unknown,2025,1,Jan,2025-01,2025-01
